timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617205765883,262,HTTP Request,201,,CRUD 1-1,text,true,,340,236,1,1,http://localhost:8080/todolist,260,0,22
1617205767150,111,HTTP Request,200,,CRUD 1-1,text,true,,329,156,1,1,http://localhost:8080/todolist,111,0,0
1617205768272,23,HTTP Request,200,,CRUD 1-1,text,true,,321,231,1,1,http://localhost:8080/todolist/1,23,0,0
1617205769302,27,HTTP Request,200,,CRUD 1-1,text,true,,265,180,1,1,http://localhost:8080/todolist/1,27,0,0
1617205770344,6,HTTP Request,201,,CRUD 1-1,text,true,,340,236,1,1,http://localhost:8080/todolist,5,0,0
1617205764788,429,Transaction Controller,200,"Number of samples in transaction : 5, number of failing samples : 0",CRUD 1-1,,true,,1595,1039,1,1,null,426,5134,22
1617205771355,14,HTTP Request,201,,CRUD 1-1,text,true,,366,300,1,1,http://localhost:8080/item,14,0,0
1617205772382,8,HTTP Request,200,,CRUD 1-1,text,true,,355,152,1,1,http://localhost:8080/item,8,0,0
1617205773390,10,HTTP Request,200,,CRUD 1-1,text,true,,361,305,1,1,http://localhost:8080/item/1,10,0,0
1617205774402,11,HTTP Request,200,,CRUD 1-1,text,true,,265,176,1,1,http://localhost:8080/item/1,11,0,0
1617205770351,43,Transaction Controller,200,"Number of samples in transaction : 4, number of failing samples : 0",CRUD 1-1,,true,,1347,933,1,1,null,43,4019,0
1617205775474,6,HTTP Request,200,,LOAD 2-20,text,true,,329,124,1,1,http://localhost:8080/todolist,6,0,1
1617205775788,5,HTTP Request,200,,LOAD 2-20,text,true,,329,124,1,1,http://localhost:8080/todolist,5,0,1
1617205776095,4,HTTP Request,200,,LOAD 2-20,text,true,,329,124,2,2,http://localhost:8080/todolist,4,0,0
1617205776226,6,HTTP Request,200,,LOAD 2-19,text,true,,329,124,2,2,http://localhost:8080/todolist,5,0,1
1617205776414,5,HTTP Request,200,,LOAD 2-20,text,true,,329,124,2,2,http://localhost:8080/todolist,4,0,0
1617205776539,5,HTTP Request,200,,LOAD 2-19,text,true,,329,124,2,2,http://localhost:8080/todolist,5,0,1
1617205776725,4,HTTP Request,200,,LOAD 2-20,text,true,,329,124,3,3,http://localhost:8080/todolist,4,0,1
1617205776845,4,HTTP Request,200,,LOAD 2-19,text,true,,329,124,3,3,http://localhost:8080/todolist,4,0,0
1617205776968,5,HTTP Request,200,,LOAD 2-18,text,true,,329,124,3,3,http://localhost:8080/todolist,5,0,0
1617205777032,5,HTTP Request,200,,LOAD 2-20,text,true,,329,124,3,3,http://localhost:8080/todolist,5,0,0
1617205777152,4,HTTP Request,200,,LOAD 2-19,text,true,,329,124,3,3,http://localhost:8080/todolist,4,0,0
1617205777274,6,HTTP Request,200,,LOAD 2-18,text,true,,329,124,3,3,http://localhost:8080/todolist,6,0,1
1617205777339,5,HTTP Request,200,,LOAD 2-20,text,true,,329,124,3,3,http://localhost:8080/todolist,5,0,0
1617205777458,5,HTTP Request,200,,LOAD 2-19,text,true,,329,124,4,4,http://localhost:8080/todolist,4,0,0
1617205777581,5,HTTP Request,200,,LOAD 2-18,text,true,,329,124,4,4,http://localhost:8080/todolist,5,0,1
1617205777645,4,HTTP Request,200,,LOAD 2-20,text,true,,329,124,4,4,http://localhost:8080/todolist,4,0,0
1617205777728,5,HTTP Request,200,,LOAD 2-17,text,true,,329,124,4,4,http://localhost:8080/todolist,5,0,1
1617205777765,4,HTTP Request,200,,LOAD 2-19,text,true,,329,124,4,4,http://localhost:8080/todolist,4,0,1
1617205777887,4,HTTP Request,200,,LOAD 2-18,text,true,,329,124,4,4,http://localhost:8080/todolist,4,0,0
1617205777952,4,HTTP Request,200,,LOAD 2-20,text,true,,329,124,4,4,http://localhost:8080/todolist,4,0,0
1617205778037,9,HTTP Request,200,,LOAD 2-17,text,true,,329,124,4,4,http://localhost:8080/todolist,8,0,1
1617205778072,5,HTTP Request,200,,LOAD 2-19,text,true,,329,124,4,4,http://localhost:8080/todolist,5,0,1
1617205778192,6,HTTP Request,200,,LOAD 2-18,text,true,,329,124,5,5,http://localhost:8080/todolist,5,0,1
1617205778258,6,HTTP Request,200,,LOAD 2-20,text,true,,329,124,5,5,http://localhost:8080/todolist,6,0,1
1617205778348,4,HTTP Request,200,,LOAD 2-17,text,true,,329,124,5,5,http://localhost:8080/todolist,4,0,0
1617205778378,4,HTTP Request,200,,LOAD 2-19,text,true,,329,124,5,5,http://localhost:8080/todolist,4,0,0
1617205778476,6,HTTP Request,200,,LOAD 2-16,text,true,,329,124,5,5,http://localhost:8080/todolist,6,0,1
1617205778506,6,HTTP Request,200,,LOAD 2-18,text,true,,329,124,5,5,http://localhost:8080/todolist,6,0,1
1617205778569,6,HTTP Request,200,,LOAD 2-20,text,true,,329,124,5,5,http://localhost:8080/todolist,6,0,1
1617205778663,6,HTTP Request,200,,LOAD 2-17,text,true,,329,124,5,5,http://localhost:8080/todolist,6,0,0
1617205778693,7,HTTP Request,200,,LOAD 2-19,text,true,,329,124,5,5,http://localhost:8080/todolist,7,0,1
1617205778784,7,HTTP Request,200,,LOAD 2-16,text,true,,329,124,5,5,http://localhost:8080/todolist,7,0,1
1617205778814,4,HTTP Request,200,,LOAD 2-18,text,true,,329,124,5,5,http://localhost:8080/todolist,4,0,0
1617205778876,5,HTTP Request,200,,LOAD 2-20,text,true,,329,124,5,5,http://localhost:8080/todolist,5,0,1
1617205778969,5,HTTP Request,200,,LOAD 2-17,text,true,,329,124,6,6,http://localhost:8080/todolist,5,0,1
1617205779002,9,HTTP Request,200,,LOAD 2-19,text,true,,329,124,6,6,http://localhost:8080/todolist,9,0,1
1617205779092,4,HTTP Request,200,,LOAD 2-16,text,true,,329,124,6,6,http://localhost:8080/todolist,4,0,1
1617205779119,5,HTTP Request,200,,LOAD 2-18,text,true,,329,124,6,6,http://localhost:8080/todolist,4,0,1
1617205779182,4,HTTP Request,200,,LOAD 2-20,text,true,,329,124,6,6,http://localhost:8080/todolist,4,0,1
1617205779223,5,HTTP Request,200,,LOAD 2-15,text,true,,329,124,6,6,http://localhost:8080/todolist,5,0,1
1617205779286,4,HTTP Request,200,,LOAD 2-17,text,true,,329,124,6,6,http://localhost:8080/todolist,4,0,0
1617205779317,5,HTTP Request,200,,LOAD 2-19,text,true,,329,124,6,6,http://localhost:8080/todolist,5,0,1
1617205779410,6,HTTP Request,200,,LOAD 2-16,text,true,,329,124,6,6,http://localhost:8080/todolist,6,0,1
1617205779425,4,HTTP Request,200,,LOAD 2-18,text,true,,329,124,6,6,http://localhost:8080/todolist,4,0,1
1617205779489,5,HTTP Request,200,,LOAD 2-20,text,true,,329,124,6,6,http://localhost:8080/todolist,5,0,1
1617205779536,4,HTTP Request,200,,LOAD 2-15,text,true,,329,124,6,6,http://localhost:8080/todolist,4,0,1
1617205779598,6,HTTP Request,200,,LOAD 2-17,text,true,,329,124,6,6,http://localhost:8080/todolist,6,0,1
1617205779630,5,HTTP Request,200,,LOAD 2-19,text,true,,329,124,6,6,http://localhost:8080/todolist,4,0,1
1617205779722,5,HTTP Request,200,,LOAD 2-16,text,true,,329,124,7,7,http://localhost:8080/todolist,5,0,1
1617205779738,5,HTTP Request,200,,LOAD 2-18,text,true,,329,124,7,7,http://localhost:8080/todolist,5,0,1
1617205779795,4,HTTP Request,200,,LOAD 2-20,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,1
1617205779841,4,HTTP Request,200,,LOAD 2-15,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,1
1617205779907,5,HTTP Request,200,,LOAD 2-17,text,true,,329,124,7,7,http://localhost:8080/todolist,5,0,1
1617205779935,4,HTTP Request,200,,LOAD 2-19,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,1
1617205779966,4,HTTP Request,200,,LOAD 2-14,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,0
1617205780027,5,HTTP Request,200,,LOAD 2-16,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,1
1617205780043,4,HTTP Request,200,,LOAD 2-18,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,1
1617205780101,5,HTTP Request,200,,LOAD 2-20,text,true,,329,124,7,7,http://localhost:8080/todolist,5,0,1
1617205780146,4,HTTP Request,200,,LOAD 2-15,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,1
1617205780213,4,HTTP Request,200,,LOAD 2-17,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,0
1617205780241,4,HTTP Request,200,,LOAD 2-19,text,true,,329,124,7,7,http://localhost:8080/todolist,4,0,1
