timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617204356504,69,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-88,text,false,,2326,0,23,26,http://localhost:8080/todolist,0,0,69
1617204356532,49,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-82,text,false,,2326,0,23,26,http://localhost:8080/todolist,0,0,49
1617204356504,87,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,LOAD 2-100,text,false,,2326,0,1,27,http://localhost:8080/todolist,0,0,87
1617204356504,99,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-90,text,false,,2326,0,26,29,http://localhost:8080/todolist,0,0,99
1617204356504,111,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-86,text,false,,2326,0,27,31,http://localhost:8080/todolist,0,0,111
1617204356504,118,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-96,text,false,,2326,0,27,31,http://localhost:8080/todolist,0,0,118
1617204356504,128,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-93,text,false,,2326,0,28,32,http://localhost:8080/todolist,0,0,128
1617204356504,136,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-94,text,false,,2326,0,29,33,http://localhost:8080/todolist,0,0,136
1617204356504,145,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-98,text,false,,2326,0,30,34,http://localhost:8080/todolist,0,0,145
1617204356504,157,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-95,text,false,,2326,0,31,35,http://localhost:8080/todolist,0,0,157
1617204356504,167,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-100,text,false,,2326,0,32,36,http://localhost:8080/todolist,0,0,167
1617204356514,169,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-84,text,false,,2326,0,34,38,http://localhost:8080/todolist,0,0,169
1617204356504,188,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-85,text,false,,2326,0,35,40,http://localhost:8080/todolist,0,0,188
1617204356504,197,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-99,text,false,,2326,0,35,40,http://localhost:8080/todolist,0,0,197
1617204356504,206,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-92,text,false,,2326,0,36,41,http://localhost:8080/todolist,0,0,206
1617204356504,216,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-91,text,false,,2326,0,37,42,http://localhost:8080/todolist,0,0,216
1617204356504,226,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-97,text,false,,2326,0,38,43,http://localhost:8080/todolist,0,0,226
1617204356504,235,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-89,text,false,,2326,0,39,44,http://localhost:8080/todolist,0,0,235
1617204356504,244,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-87,text,false,,2326,0,40,45,http://localhost:8080/todolist,0,0,244
1617204356539,218,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,STRESS 4-200,text,false,,2326,0,2,46,http://localhost:8080/todolist,0,0,218
1617204356569,200,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-80,text,false,,2326,0,42,48,http://localhost:8080/todolist,0,0,200
1617204356570,210,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-79,text,false,,2326,0,43,49,http://localhost:8080/todolist,0,0,210
1617204356544,244,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-81,text,false,,2326,0,44,50,http://localhost:8080/todolist,0,0,244
1617204356573,225,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-78,text,false,,2326,0,45,51,http://localhost:8080/todolist,0,0,224
1617204356585,221,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-77,text,false,,2326,0,46,52,http://localhost:8080/todolist,0,0,221
1617204356587,228,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-88,text,false,,2326,0,47,53,http://localhost:8080/todolist,0,0,228
1617204356587,238,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-82,text,false,,2326,0,48,54,http://localhost:8080/todolist,0,0,238
1617204356524,309,HTTP Request,200,,SPIKE 3-83,text,true,,263,124,49,55,http://localhost:8080/todolist,307,0,10
1617204356594,241,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-76,text,false,,2326,0,49,55,http://localhost:8080/todolist,0,0,241
1617204356592,252,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,LOAD 2-100,text,false,,2326,0,3,57,http://localhost:8080/todolist,0,0,252
1617204356603,252,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-75,text,false,,2326,0,51,58,http://localhost:8080/todolist,0,0,252
1617204356604,262,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-90,text,false,,2326,0,52,59,http://localhost:8080/todolist,0,0,262
1617204356611,264,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,LOAD 2-99,text,false,,2326,0,3,60,http://localhost:8080/todolist,0,0,264
1617204356613,270,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-74,text,false,,2326,0,54,61,http://localhost:8080/todolist,0,0,270
1617204356616,276,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-86,text,false,,2326,0,54,61,http://localhost:8080/todolist,0,0,276
1617204356624,276,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-73,text,false,,2326,0,55,62,http://localhost:8080/todolist,0,0,276
1617204356624,288,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-96,text,false,,2326,0,57,65,http://localhost:8080/todolist,0,0,288
1617204356634,287,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-72,text,false,,2326,0,57,65,http://localhost:8080/todolist,0,0,287
1617204356633,297,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-93,text,false,,2326,0,58,66,http://localhost:8080/todolist,0,0,297
1617204356643,298,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-71,text,false,,2326,0,59,67,http://localhost:8080/todolist,0,0,298
1617204356650,301,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-98,text,false,,2326,0,60,68,http://localhost:8080/todolist,0,0,301
1617204356641,319,HTTP Request,Non HTTP response code: java.net.BindException,Non HTTP response message: Address already in use: connect,SPIKE 3-94,text,false,,2326,0,61,69,http://localhost:8080/todolist,0,0,319
