timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617199988970,386,HTTP Request,200,OK,Thread Group 1-1,text,true,,2394,167,9,9,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,384,0,288
1617199988970,387,HTTP Request,200,OK,Thread Group 1-2,text,true,,2394,167,9,9,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,387,0,296
1617199989019,345,HTTP Request,200,OK,Thread Group 1-3,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,345,0,255
1617199989067,345,HTTP Request,200,OK,Thread Group 1-4,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,345,0,254
1617199989118,346,HTTP Request,200,OK,Thread Group 1-5,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,346,0,252
1617199989167,345,HTTP Request,200,OK,Thread Group 1-6,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,345,0,246
1617199989216,342,HTTP Request,200,OK,Thread Group 1-7,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,342,0,249
1617199989266,339,HTTP Request,200,OK,Thread Group 1-8,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,339,0,248
1617199989318,344,HTTP Request,200,OK,Thread Group 1-9,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,344,0,258
1617199989367,350,HTTP Request,200,OK,Thread Group 1-10,text,true,,2394,167,8,8,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,350,0,258
1617199989417,350,HTTP Request,200,OK,Thread Group 1-11,text,true,,2394,167,8,8,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,350,0,261
1617199989467,364,HTTP Request,200,OK,Thread Group 1-12,text,true,,2394,167,8,8,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,364,0,273
1617199989516,342,HTTP Request,200,OK,Thread Group 1-13,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,342,0,250
1617199989568,345,HTTP Request,200,OK,Thread Group 1-14,text,true,,2394,167,7,7,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,345,0,255
1617199989616,348,HTTP Request,200,OK,Thread Group 1-15,text,true,,2394,167,6,6,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,348,0,249
1617199989667,390,HTTP Request,200,OK,Thread Group 1-16,text,true,,2394,167,5,5,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,390,0,263
1617199989716,374,HTTP Request,200,OK,Thread Group 1-17,text,true,,2394,167,4,4,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,374,0,257
1617199989766,344,HTTP Request,200,OK,Thread Group 1-18,text,true,,2394,167,3,3,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,344,0,253
1617199989821,341,HTTP Request,200,OK,Thread Group 1-19,text,true,,2394,167,2,2,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,341,0,249
1617199989866,340,HTTP Request,200,OK,Thread Group 1-20,text,true,,2394,167,1,1,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,340,0,250
